timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680193013721,16879,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.rokomari.com:443 failed to respond,newuser 1-323,text,false,,2098,0,325,325,https://www.rokomari.com/,0,0,16878
1680193014568,16176,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.rokomari.com:443 failed to respond,newuser 1-420,text,false,,2098,0,324,324,https://www.rokomari.com/,0,0,16176
1680193012694,18146,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.rokomari.com:443 failed to respond,newuser 1-144,text,false,,2098,0,323,323,https://www.rokomari.com/,0,0,18145
1680193014663,16283,HTTP Request,200,OK,newuser 1-489,text,true,,165131,240,322,322,https://www.rokomari.com/book,14748,0,14639
1680193014663,14748,HTTP Request-0,301,Moved Permanently,newuser 1-489,,true,,900,118,322,322,https://www.rokomari.com/,14748,0,14639
1680193029412,1534,HTTP Request-1,200,OK,newuser 1-489,text,true,,164231,122,322,322,https://www.rokomari.com/book,227,0,0
1680193014647,16301,HTTP Request,200,OK,newuser 1-472,text,true,,165135,240,321,321,https://www.rokomari.com/book,3627,0,1848
1680193014647,3627,HTTP Request-0,301,Moved Permanently,newuser 1-472,,true,,908,118,321,321,https://www.rokomari.com/,3627,0,1848
1680193018274,12674,HTTP Request-1,200,OK,newuser 1-472,text,true,,164227,122,321,321,https://www.rokomari.com/book,110,0,0
1680193013603,17446,HTTP Request,200,OK,newuser 1-311,text,true,,165130,240,320,320,https://www.rokomari.com/book,15717,0,3185
1680193013603,15717,HTTP Request-0,301,Moved Permanently,newuser 1-311,,true,,896,118,320,320,https://www.rokomari.com/,15717,0,3185
1680193013644,17404,HTTP Request,200,OK,newuser 1-316,text,true,,165127,240,320,320,https://www.rokomari.com/book,8086,0,4361
1680193029321,1728,HTTP Request-1,200,OK,newuser 1-311,text,true,,164234,122,320,320,https://www.rokomari.com/book,101,0,0
1680193013644,8086,HTTP Request-0,301,Moved Permanently,newuser 1-316,,true,,898,118,320,320,https://www.rokomari.com/,8086,0,4361
1680193021730,9318,HTTP Request-1,200,OK,newuser 1-316,text,true,,164229,122,320,320,https://www.rokomari.com/book,102,0,0
1680193012477,18621,HTTP Request,200,OK,newuser 1-66,text,true,,165121,240,318,318,https://www.rokomari.com/book,1462,0,1384
